TF,Target,Weight
ZBED2,PTPN7,0.7688326743662659
ZBED2,STAT1,0.7201762455494436
ZBED2,TAP1,0.702958601183653
ZBED2,TNFRSF9,0.7892298895571044
ZBED2,TNFSF13B,0.7337458424879729
ZBED2,VSTM3,0.8418144075799139
ZBED2,WIPF1,0.7353659033724711
ZBED2,ZBTB32,0.807057936060812
HOXA2,HOXA3,0.8044789044179341
HOXA2,HOXA4,0.7901046054974339
HOXA2,HOXA5,0.8206321980326583
HOXA2,HOXA7,0.7677158992497044
FOSB,AXUD1,0.772199128865575
FOSB,CYR61,0.7370033311979685
FOSB,DUSP1,0.823367712359394
FOSB,EGR1,0.8501969435240048
FOSB,EGR2,0.7019233312145537
FOSB,FOS,0.8722061570988578
FOSB,JUNB,0.7187284797380701
FOSB,NR4A1,0.7864103045122258
FOSB,SDPR,0.7000037661742428
FOSB,ZFP36,0.8732114233033961
TSHZ3,ANGPTL2,0.7519742170753223
TSHZ3,C2ORF32,0.7470899578101279
TSHZ3,CCDC80,0.7149785534314624
TSHZ3,CFH,0.7030890835015914
TSHZ3,CFHR3,0.7188980257377668
TSHZ3,COPZ2,0.7044303148390005
TSHZ3,CXCL12,0.7125063008160741
TSHZ3,DCN,0.8132863924597235
TSHZ3,ECM2,0.7553129824195107
TSHZ3,FIBIN,0.7201771071711215
TSHZ3,FSTL1,0.7075897862838485
TSHZ3,GLT8D2,0.8234532391394915
TSHZ3,JAM3,0.7777615447930063
TSHZ3,LAMA2,0.701096615395401
TSHZ3,MSRB3,0.7467043899250101
TSHZ3,NAP1L3,0.7324491725380433
TSHZ3,NDN,0.7592370793109209
TSHZ3,PCSK5,0.7135264834950406
TSHZ3,PDGFRL,0.7098097849725683
TSHZ3,PPAPDC3,0.7138903039886448
TSHZ3,RUNX1T1,0.7361916419115883
TSHZ3,SERPINF1,0.7241085205721055
TSHZ3,SNAI2,0.7144256181269719
TSHZ3,SPON1,0.7667962025534588
TSHZ3,TBX15,0.7064491354379582
TSHZ3,ZFPM2,0.7261086151436561
AHCTF1,B3GALNT2,0.7288985060037507
AHCTF1,ZNF669,0.7070900058269225
ATF3,CYR61,0.7167558817615449
ATF3,ZFP36,0.7352011763001386
MEOX2,ABCA6,0.7919089908243058
MEOX2,ABCA8,0.8543990106284493
MEOX2,ABCA9,0.7845406522388794
MEOX2,ABI3BP,0.759868682780608
MEOX2,ACVR1C,0.7053451787203833
MEOX2,ADH1B,0.7505585709249016
MEOX2,ADIPOQ,0.7088839078877771
